replication,n_btc,n_eth,hy_covariance,hy_correlation,rv_btc,rv_eth,sync_correlation_1s
153,4180,4154,1.810539661942321e-08,0.02550491069359952,4.635526289811227e-07,1.0870998182643674e-06,0.019230230008487025
154,4219,4609,-2.4841497037179286e-09,-0.003378692538074467,4.4438544842376754e-07,1.216461460099608e-06,-0.03740993052314344
155,4262,4653,-2.716037652339038e-08,-0.03758083611851861,4.4473018513881914e-07,1.174470434791192e-06,-0.06220750648171038
156,4409,4636,-1.631116319010077e-08,-0.022612366112241253,4.247177141767196e-07,1.225116738972695e-06,-0.06554560537229483
157,4277,4282,-1.601208707273021e-08,-0.02306927861894801,4.449325783898072e-07,1.0827636098664364e-06,-0.0691441349227908
158,4435,4534,1.2120204171061486e-08,0.01664973324661995,4.4859538612084823e-07,1.1812736307062032e-06,-6.020224878971589e-05
159,4385,4617,1.2628824668676469e-08,0.017389049041172625,4.7123177054373033e-07,1.1192823103316047e-06,0.013704826579536962
160,4576,5027,-1.970760443467e-08,-0.024998886439135497,4.79123811458819e-07,1.2971153266652905e-06,0.026924244594856345
161,4163,4392,8.100216893756086e-09,0.012087909010287235,3.9930717399332433e-07,1.1245630722233184e-06,-0.0498475465728341
162,4567,4820,2.4972814903567984e-08,0.03278125633256253,4.7176825404806633e-07,1.23014157246698e-06,0.005998286457456552
163,4288,4479,1.90123443506768e-08,0.026899319507966507,4.3681566949576497e-07,1.1436431873887032e-06,0.02786767051112716
164,4315,4583,1.3976577475472484e-09,0.001957156246923465,4.419386805994167e-07,1.1539544360746522e-06,0.018630938998244202
165,4542,4853,3.860176058433011e-09,0.005225088601469535,4.540626748061112e-07,1.202018368057395e-06,-0.003270099780225608
166,4338,4748,6.0746361023072206e-09,0.008156286348016913,4.54336239312232e-07,1.2208947493461251e-06,0.0414446516448276
167,4023,4242,-7.0948724676085956e-09,-0.010190718190382211,4.2145035054407245e-07,1.1500935908447488e-06,-0.015431374734820065
168,4434,4642,-8.323418272045195e-09,-0.011515935740243564,4.5470350637641056e-07,1.1488852935274218e-06,-0.011353043098706533
169,4121,4370,6.146641567999312e-09,0.008959378259191344,4.276109136565511e-07,1.1007057904021367e-06,0.039906874628838816
170,4546,4862,2.523169042587262e-09,0.0032325362164039155,4.794803245322019e-07,1.270676815379654e-06,-0.016024499443492865
171,4476,4673,5.609869835143292e-09,0.008002165860454755,4.2681929201824745e-07,1.1514535695912823e-06,-0.02488477473784585
172,4591,4932,6.3040831336213985e-09,0.008510632975691499,4.5226999914359475e-07,1.2131719476853842e-06,0.02135107704613347
173,4377,4695,2.3561420040401093e-08,0.03415173038158328,4.298485481812406e-07,1.1072916701169135e-06,0.018952824915173673
174,4331,4463,-9.434226268862767e-09,-0.013596873972277651,4.1775762526191166e-07,1.1524180346792342e-06,-0.012377791371491876
175,4527,4799,1.8891643598446982e-08,0.025647405825230278,4.67570242294759e-07,1.160394699885025e-06,-0.0006335353186381574
176,4181,4486,1.1204563015460841e-08,0.016670909040450828,4.1956630023348105e-07,1.0766404312105781e-06,0.01959760421692192
177,4131,4294,1.019587572274405e-08,0.015664772484712063,4.112799993373294e-07,1.0300618274326693e-06,-0.012805956402533987
178,4090,4398,1.7447717628927807e-08,0.026254516829717967,4.0469786502297545e-07,1.0912852227367867e-06,0.03408308855012657
